Memory,Type,Date,Time,
Armright,Q,01-02-17,17:10:21,
Mag,Q,01-02-17,17:10:23,
Armright,Q,01-02-17,17:10:27,
Vacuum ON,Q,01-02-17,17:10:27,
Vacuum,I,01-02-17,17:10:27,
Armright,Q,02-02-17,17:15:30,
Mag,Q,02-02-17,17:15:32,
Vacuum ON,Q,02-02-17,17:15:35,
Vacuum,I,02-02-17,17:15:35,
Armright,Q,02-02-17,17:15:36,
Armright,Q,02-02-17,17:18:02,
Mag,Q,02-02-17,17:18:04,
Vacuum ON,Q,02-02-17,17:18:08,
Vacuum,I,03-02-17,17:18:08,
Armright,Q,03-02-17,17:18:08,
Armright,Q,03-02-17,17:18:33,
Mag,Q,03-02-17,17:18:36,
Vacuum ON,Q,03-02-17,17:18:39,
Vacuum,I,03-02-17,17:18:39,
Armright,Q,03-02-17,17:18:39,
Armright,Q,03-02-17,17:19:07,
Mag,Q,03-02-17,17:19:09,
Armright,Q,03-02-17,17:19:12,
Vacuum ON,Q,03-02-17,17:19:12,
Vacuum,I,04-02-17,17:19:13,
Mag,Q,04-02-17,17:24:05,
Vacuum ON,Q,04-02-17,17:24:09,
Vacuum,I,04-02-17,17:24:09,
Armright,Q,04-02-17,17:24:09,
Armright,Q,04-02-17,17:26:55,
Mag,Q,04-02-17,17:26:57,
Armright,Q,04-02-17,17:27:01,
Vacuum ON,Q,04-02-17,17:27:01,
Vacuum,I,05-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
Vacuum,I,06-02-17,17:27:01,
